,PUNUGULU,MIRCHI,ALOO BAJJI,PAKODI,CORN SAMOSA,NUGGETS,FRENCH FRIES,MASALA VADA,DAL VADA,PAROTA CHICKEN,CHICKEN BIRYANI,EGG BIRIYANI,EGG PAROTA,EGG CHAPATHI,MEALS,CHOLE POORI,CHAPATHI VEG,PAROTA VEG,GOBI RICE,VEG PULAV,VEG FRIED RICE,TOMATO RICE,JEERA RICE,VEG MANCHURIA,VADA,BONDA,POORI,MASALA DOSA,ONION DOSA,UTHAPPAM,PLAIN DOSA,UPMA,COFFEE,LEMON TEA,HORLICKS,BOOST,BADAM MILK,ROSE MILK,MASALA TEA,HOT CHOCO,TEA,IDLY,CHAPATHI CHICKEN,cluster
70,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4
71,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2
72,4.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,5.0,2.0,4.0,1.0,4.0,4.0,2.0,5.0,2.0,2.0,5.0,3.0,5.0,2.0,2.0,2
73,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1
74,3.0,2.0,2.0,2.0,2.0,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
75,5.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2
76,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
77,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,2
78,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,3
79,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1
80,5.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0,5.0,1.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3
81,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1
82,5.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,1.0,1.0,1.0,4.0,2.0,4.0,2
83,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3
84,5.0,2.0,2.0,2.0,3.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3
85,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,5.0,2.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,2
86,4.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1
87,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3
88,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,4.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,1
89,5.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,2.0,5.0,3.0,3.0,5.0,3
90,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1
91,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
93,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
94,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,5.0,2.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2
95,3.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,2.0,5.0,5.0,3.0,2.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,1.0,1.0,1.0,4.0,3.0,3.0,2
96,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
97,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4
98,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,2.0,2.0,2
99,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1
100,5.0,5.0,4.0,2.0,2.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,5.0,1.0,5.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,5.0,5.0,2.0,3
101,5.0,4.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,4.0,3
102,4.0,2.0,2.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2
103,4.0,4.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,3.0,1
104,5.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1
105,5.0,1.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,1.0,2.0,1.0,1
106,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4
107,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
108,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,1
109,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3
110,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,5.0,5.0,2.0,1.0,1.0,4.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,1
111,4.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2
112,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,1
113,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1
114,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,3.0,2.0,1
115,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2
116,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2
117,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4
118,4.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1
119,4.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1
120,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0
121,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,1
122,4.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1
123,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,1
